"","DJIA","MMM","AA","AXP","T","BAC","BA","CAT","CVX","CSCO","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","TRV","UTX","UNH","VZ","WMT","DIS"
"2011-06-22",12109.67,88.08,14.91,48.46,27.77,10.69,68.71,95.94,94.73,14.72,31.61,47.86,75.86,17.46,33.61,33.48,19.9,160.15,61.61,38.42,78.32,32.93,23.29,18.79,60.04,54.54,81.26,50.48,32.62,50.41,37.11
"2011-06-23",12050,87.64,14.9,47.84,27.62,10.61,67.88,96.32,93.13,14.83,30.94,47.86,74.55,17.29,33.71,34.17,20.19,160.58,61.24,37.84,77.98,32.46,23.27,19.13,59.47,54.38,80.96,49.87,32.72,50.68,36.63
"2011-06-24",11934.58,86.27,14.85,46.99,27.37,10.43,67.89,95.81,91.76,14.31,30.91,48.46,72.97,16.9,33.4,33.63,19.71,159.56,60.67,37.29,77.55,32.07,22.96,18.6,58.66,53.93,80.21,49.2,32.67,49.84,36.4
"2011-06-27",12043.56,87.56,14.9,48.16,27.66,10.75,68.23,96.56,92.69,14.43,31.05,48.26,74.06,17.19,33.48,33.74,19.84,162.03,60.85,37.66,78,32.05,23.81,18.69,58.87,54.44,81.16,49.75,33.03,49.73,36.88
"2011-06-28",12188.69,88.29,15.26,48.43,27.89,10.72,68.68,99.47,94.05,14.5,31.44,49.11,75.68,17.34,33.58,34.57,19.98,164.34,61.46,37.34,79.93,32.41,24.37,19.04,58.78,54.75,82.32,50.47,33.19,49.96,36.73
"2011-06-29",12261.42,88.38,15.43,49.68,28.11,11.04,69.28,99.01,94.93,14.7,31.76,49.72,76.27,17.46,34.02,34.49,19.89,164.85,61.83,38.2,80.14,32.58,24.2,19.15,58.62,55.73,82.24,50.25,33.32,50.06,37.15
"2011-06-30",12414.34,90.03,15.47,50.44,28.24,10.86,70.43,101.98,96.39,14.96,32.04,50.41,77.35,17.74,34.83,34.72,20.6,165.83,62.03,38.66,79.9,32.76,24.56,19.08,59.58,55.54,84.18,50.29,33.79,50.54,37.81
"2011-07-01",12582.77,91.75,15.91,51.06,28.49,10.99,70.76,104.05,97.56,15.2,32.42,50.8,77.95,18.06,35.46,35.21,20.95,168.72,62.76,39.5,81.16,33.05,24.58,19.22,60.23,56.24,85.72,51.8,34.3,50.89,38.47
"2011-07-05",12569.87,91.25,15.98,51.05,28.44,10.9,70.64,103.87,98.52,15.08,32.52,50.78,77.56,17.91,34.9,35.07,20.86,169.58,63.06,38.98,81.15,32.94,24.59,19.25,60.22,55.69,85.13,51.53,34.32,50.78,38.72
"2011-07-06",12626.02,92.3,15.84,51.47,28.47,10.64,71.2,105.45,98.49,14.97,32.63,51.48,77.53,17.92,34.64,35.05,21.15,171.78,62.99,38.54,81.36,32.98,24.87,19.25,60.64,55.76,86,51.8,34.51,51.09,38.33
"2011-07-07",12719.49,92.99,16.08,52.28,28.47,10.82,72.39,106.94,99.9,15.3,32.73,52.07,78.28,18.15,34.88,35.51,21.6,170.59,63.33,39.26,81.55,33.17,25.29,18.74,60.87,56.04,86.92,51.31,34.4,51.82,38.49
"2011-07-08",12657.2,92.66,15.98,51.78,28.39,10.6,71.52,105.77,99.25,15.14,32.7,51.68,78.34,17.86,34.86,35.1,21.47,170.6,63.01,38.71,81.11,33.53,25.43,18.68,60.85,55.81,85.93,50.78,34.46,51.43,38.66
"2011-07-11",12505.76,91.65,15.52,51,28.08,10.26,69.88,103.61,97.86,14.85,32.42,51.1,77.84,17.52,33.77,34.85,21.25,169.15,62.73,37.46,80.88,33.12,25.16,18.57,60.66,55.42,84.77,49.66,34.13,51.23,37.99
"2011-07-12",12446.88,91,15.32,51.12,28.05,10.12,68.53,102.43,97.84,15.01,32.3,50.68,77.83,17.29,33.75,34.61,20.87,168.24,62.5,37.42,80.53,33.07,25.07,18.53,60.48,55.5,84.13,50.12,34.1,51.3,37.92
"2011-07-13",12491.61,91.3,15.46,50.68,28.1,10.11,68.75,104.07,98.5,14.98,32.4,50.92,78.39,17.41,33.92,34.63,20.9,168.5,63.06,37.64,80.51,33.45,25.16,18.52,60.58,55.63,83.86,50.43,33.96,51.37,38.32
"2011-07-14",12437.12,90.15,15.08,50.13,27.88,9.98,67.82,103.06,98.1,14.85,32.22,50.19,78.16,17.43,33.62,34.47,20.71,168.42,63.09,38.34,81.31,33.7,25.01,18.44,60.54,54.93,83.52,50.96,33.91,51,38.34
"2011-07-15",12479.73,90.62,15.1,50.55,27.63,9.91,67.91,104.76,99.53,15,32.15,50.44,78.89,17.31,33.58,34.42,20.8,169.68,62.9,37.98,81,33.35,25.3,18.3,60.76,55.09,84,50.67,33.85,51,38.04
"2011-07-18",12385.16,89.79,14.8,50.08,27.46,9.63,66.26,103.7,99.57,14.86,31.96,49.86,78.55,17.2,33.51,34.21,20.72,169.43,62.56,37.84,80.92,32.94,25.12,18.19,60.5,53.77,83.33,50.65,33.75,50.71,37.53
"2011-07-19",12587.42,89.48,15.06,50.55,27.65,9.48,67.19,105.47,100.74,15.07,33,50.45,79.49,17.47,34.08,34.61,21.44,179.03,62.22,38.37,81.69,33.22,26.02,18.47,60.55,54.26,84.48,50.16,33.99,51.33,38.3
"2011-07-20",12571.91,89.46,15.13,50.82,27.56,9.76,68.66,106.12,100.38,15.22,32.79,50.6,79.17,17.67,33.76,34.9,21.38,177.52,61.77,38.92,81.75,33.04,25.56,18.44,60.66,54.29,82.95,50.22,34.32,51.25,38.12
"2011-07-21",12724.41,90.97,15.38,51.3,27.6,10.14,69.44,107.36,102.56,15.73,33.01,51.11,80.81,18.02,34.67,35.2,21.21,178.73,61.98,40.18,82,33.58,25.6,18.62,60.93,54.89,83.9,50.84,34.54,51.8,39.46
"2011-07-22",12681.16,90.53,15.44,50.97,27.64,10.04,69.23,101.15,102.13,15.84,33.2,51.15,81,17.91,35.12,35.01,21.51,179,62.22,40.08,83.92,33.5,26.01,18.59,60.71,54.78,83.41,51.43,33.78,51.85,39.37
"2011-07-25",12592.8,90.24,15.26,50.55,27.27,9.92,67.94,101.65,101.32,15.66,32.98,50.45,80.38,17.83,35.49,35.13,21.41,177.57,61.78,39.61,83.5,33.32,26.37,18.35,59.82,53.9,83.05,50.34,33.3,51.33,39.29
"2011-07-26",12501.3,85.36,15.1,50.31,27.29,9.91,66.84,101.2,100.82,15.67,32.94,50.07,80.19,17.46,35.86,34.88,21.29,176.83,61.47,39.37,83.41,33.22,26.53,18.19,59.61,54.04,81.96,49.98,33.35,50.97,39.24
"2011-07-27",12302.55,83.6,14.56,49.25,27.31,9.59,67.29,97.49,99,15.1,32.7,48.75,79.18,17.03,35.22,34.15,20.95,175.3,60.83,38.64,82.52,32.67,25.82,17.88,58.77,53.54,79.64,48.64,33.29,50.64,38.28
"2011-07-28",12240.11,83.12,14.46,49.32,26.67,9.7,67.32,95.85,98.44,15.4,32.76,48.77,77.42,17.03,34.67,33.69,20.97,175.74,60.69,38.65,82.23,32.42,26.19,17.94,58.51,52.8,78.86,48.67,32.78,50.4,38.16
"2011-07-29",12143.24,82.71,14.37,48.82,26.67,9.62,67.14,95.04,97.49,15.37,32.38,47.95,75.84,16.84,33.66,33.48,20.76,175.78,60.42,38.43,81.95,31.68,25.88,17.83,58.1,52.45,78.79,48.39,32.44,50.13,37.41
"2011-08-01",12132.49,82.36,14.39,48.8,26.91,9.72,67,96.89,98.77,15.23,32.25,48.07,75.66,16.9,33.69,32.83,20.68,174.72,60.06,38.42,81.86,31.04,25.76,17.61,58.04,51.96,78.31,46.82,32.98,50.04,37.23
"2011-08-02",11866.62,80.93,13.81,47.34,26.6,9.41,64.5,93.49,96.96,14.88,31.93,46.68,73.98,16.19,32.87,31.46,20.2,172.11,59.15,37.85,80.6,30.54,25.32,16.81,57.51,51.53,75.07,45.8,32.63,49.15,35.81
"2011-08-03",11896.44,81.8,13.94,47.67,26.89,9.46,64.15,92.62,96.31,14.9,32.57,47.09,73.87,16.43,32.81,31.58,20.48,172.86,59.13,37.91,81.06,30.35,25.43,16.89,57.38,51.59,75.43,46,33.07,48.77,36.26
"2011-08-04",11383.68,78.05,12.65,45.7,26.24,8.75,60.1,86.15,90.76,14.26,31.34,44.05,70.18,15.49,31.14,30.39,19.58,165.76,57.67,36.03,79.86,29.25,24.5,16.26,56.3,50.72,70.73,43.94,32.1,47.65,34.24
"2011-08-05",11444.61,78.54,12.5,46.06,26.37,8.1,59.78,87.53,91.49,14.38,31.79,44.08,71.11,15.53,31.23,29.47,19.52,167.21,58.48,35.72,80.62,29.43,24.26,16.38,57.25,50.02,70.51,44.42,32.22,48.36,34.08
"2011-08-08",10809.85,74.59,11.07,41.99,25.25,6.45,55.93,79.46,84.59,13.41,31,41.09,66.71,14.51,29.48,27.73,18.88,161.37,56.99,32.36,77.81,27.79,23.13,15.61,56.02,46.22,66.33,40.88,30.45,46.52,31.99
"2011-08-09",11239.77,78.49,11.96,44.98,26.3,7.53,59.39,84.16,87.54,13.53,31.75,43.56,68.09,15.01,30.17,28.9,19.34,165.64,58,34.58,81.45,28.98,24.16,16.49,56.9,49.18,68.07,43.61,31.53,48.33,33.61
"2011-08-10",10719.94,74.25,11.34,41.76,25.42,6.71,55.06,80.34,84.89,13.21,30.45,41.81,65.09,14.19,28.58,27.33,18.71,157.8,56.14,32.65,79.67,27.67,22.86,15.97,55.28,46.66,64.14,40.8,30.95,46.37,30.55
"2011-08-11",11143.31,77.09,11.97,43.97,25.93,7.19,56.45,83.93,88.17,15.32,31.65,44.2,68.48,14.75,29.71,28.8,19.49,161.87,59.16,34.86,81.76,28.96,23.8,16.68,57.12,48.89,66.33,42.83,31.83,47.64,31.11
"2011-08-12",11269.02,78.34,11.98,43.8,25.73,7.13,59.23,86.4,89.85,15.39,31.97,44.57,68.88,14.94,30.93,29.31,19.39,163.3,59.08,34.12,81.97,29.09,23.71,16.73,57.77,48.65,68.91,43.69,31.53,47.66,32.05
"2011-08-15",11482.9,79.07,12.28,44.7,26.26,7.69,60.14,87.9,92.88,15.42,32.47,44.91,71.07,15.41,31.04,30.16,19.61,167.95,60.23,35.04,82.27,29.82,24.1,17.18,58.47,49.73,69.94,44.79,32.22,47.88,32.59
"2011-08-16",11405.93,77.95,11.98,43.8,26.25,7.33,59.69,85.95,91.98,15.4,32.46,44.13,70.32,15.19,31.21,31.75,19.52,166.25,60.02,34.23,82.13,29.8,24.1,17.15,58.22,49.46,69,44.36,32.07,49.73,32.37
"2011-08-17",11410.21,77.33,11.98,44.74,26.59,7.39,59.64,84.31,92.28,15.25,32.98,43.98,70.95,15.26,30.04,32.03,19.41,166.48,59.92,34.74,82.91,29.89,24,17.32,58.27,49.66,68.98,44.39,32.74,49.38,32.32
"2011-08-18",10990.58,73.98,11.25,43.2,25.94,6.95,56.52,80.16,88.09,14.44,32.26,41.79,67.87,14.43,28.24,30.83,18.56,159.05,58.9,33.43,81.12,28.83,23.45,16.59,57.5,47.37,65.22,42.79,32.24,49.61,31.53
"2011-08-19",10817.65,73.45,10.96,43.39,25.52,6.91,55.19,76.93,88.14,14.51,31.95,41.21,66.78,14.19,22.59,30.56,18.02,152.95,58.88,32.64,82.66,29.02,22.86,16.55,57.6,47.06,64.58,42.24,31.91,50.1,30.85
"2011-08-22",10854.65,73.53,10.98,43.51,25.94,6.36,55.99,76.85,88.15,14.44,32.03,41.24,67.14,14.21,23.4,30.94,18.2,154.35,59.02,31.74,83.16,29.06,22.8,16.56,58.31,46.73,64.8,42.52,32.01,49.99,31.01
"2011-08-23",11176.76,76.13,11.42,45.29,26.42,6.24,58.29,79.83,91.95,14.86,32.88,42.75,70.47,14.62,23.48,31.74,18.51,159.53,60.58,33.04,84.84,29.65,23.5,17.09,59.55,46.95,66.95,43.75,33.06,50.97,31.1
"2011-08-24",11320.71,76.72,11.6,46.91,26.83,6.93,59.17,82.16,92.2,14.88,33.18,43.4,70.36,14.78,24.13,32.95,18.59,161.9,61.11,34.04,85.41,29.92,23.67,17.23,59.82,47.11,68.37,44.76,33.53,51.12,31.49
"2011-08-25",11149.82,74.71,11.33,46.92,26.49,7.58,58.6,80.09,90.66,14.51,32.36,42.79,68.66,14.53,23.95,32.44,18.23,160.75,60.19,33.94,84.06,29.57,23.36,16.82,59.08,45.66,67.74,43.96,32.89,50.48,31.01
"2011-08-26",11284.54,76.45,11.59,47.3,26.47,7.69,60.23,81.92,91.5,14.74,32.61,43.38,69.5,14.62,23.75,32.59,18.56,164.21,60.47,34.4,85.22,29.63,24,17.06,59.12,45.95,68.51,44.58,32.88,50.67,31.38
"2011-08-29",11539.25,78.45,12.14,47.37,26.67,8.32,61.96,84.8,93.29,15.14,33.2,44.71,70.91,15.09,25,32.58,19.06,167.59,61.96,35.76,86.03,30.13,24.56,17.69,59.61,48.29,70.72,45.59,33.23,50.95,32.12
"2011-08-30",11559.95,78.42,12.08,47.47,27,8.05,63.33,86.42,92.97,15.04,33.26,45.38,70.71,15.16,24.93,32.42,19,167.48,61.88,35.21,86.6,30.35,24.94,17.69,60,47.77,70.62,46.1,33.38,50.6,32.53
"2011-08-31",11613.53,79.29,12.51,48.5,25.96,8.11,64.13,87.54,93.38,15.08,33.54,45.43,70.82,15.34,24.91,32.23,18.9,166.9,61.9,35.69,86.25,30.73,25.29,17.78,60.17,48.01,71.09,46.33,33.25,50.95,32.99
"2011-09-01",11493.57,77.98,12.21,48.29,25.77,7.85,63.35,85.19,93.08,15.22,33.54,45.01,70.31,15.24,24.57,31.8,18.77,165.36,61.46,34.49,85.93,30.54,24.92,17.71,59.77,47.77,69.94,46,32.99,50.43,32.33
"2011-09-02",11240.26,75.82,11.77,47.33,25.57,7.19,61.41,82.14,91.09,14.83,33.2,44.01,69.02,14.82,23.29,31.08,18.44,162.11,60.28,32.9,84.99,30.05,24.53,17.29,59.1,46.5,68.02,44.74,32.69,49.84,31.44
"2011-09-06",11139.3,74.61,11.5,46.89,25.37,6.94,60.21,82.44,90.33,14.7,33.06,43.43,68.07,14.34,22.61,30.95,18.35,160.3,60.81,31.77,84.73,29.94,24.25,17.47,58.94,46.17,67.5,44.72,32.38,49.5,30.76
"2011-09-07",11414.86,76.99,11.97,48.76,25.64,7.42,62.25,85.32,93.81,15.28,33.71,44.65,70.46,14.86,23.1,31.74,18.85,162.43,61.56,33.08,85.18,30.6,24.72,17.81,59.26,48.19,69.85,46.19,32.75,50.21,31.61
"2011-09-08",11295.81,75.74,11.76,48.32,25.49,7.14,60.24,83.73,92.97,15.67,33.88,43.67,69.67,14.66,22.84,31.35,18.68,160.43,61.1,31.84,84.53,30.43,24.93,17.63,59.44,47.34,69.54,46.18,32.53,50.01,30.95
"2011-09-09",10992.13,73.24,11.32,46.13,25.11,6.93,59.27,80.77,89.93,15.22,33.03,42.61,67.94,14.19,21.68,30.78,18.5,156.67,59.87,30.48,81.12,29.56,24.47,17.12,58.43,46.19,67.53,44.53,32.4,49.2,30.07
"2011-09-12",11061.12,74.74,11.29,46.3,25.42,7,59.84,80.68,90.61,15.48,33.03,41.68,68.73,14.12,21.72,31.24,19.04,157.69,59.83,30.8,82.22,29.7,24.61,17.1,58.42,46.98,68.1,45.26,32.41,49.64,30.31
"2011-09-13",11105.85,74.35,11.37,46.73,25.63,6.95,60.28,81.79,90.63,15.73,33.12,42.03,68.55,14.49,21.84,31.54,19.49,158.67,59.84,30.87,82.16,29.82,24.75,17.17,58.53,46.96,69.37,46.95,32.64,49.42,30.46
"2011-09-14",11246.73,75.91,11.46,47.8,25.76,7,60.45,82.2,91.94,15.71,33.44,42.84,69.5,14.85,22.06,32.39,19.83,162.37,59.96,31.16,82.76,30.17,25.19,17.25,58.9,46.96,70.54,47.63,32.73,50,31.28
"2011-09-15",11433.18,77.05,11.71,48.16,26.02,7.27,61.69,83.31,93.78,16.04,34.04,43.75,70.81,15.27,22.39,33.1,20.22,165.13,60.59,32.12,84.02,30.52,25.66,17.32,59.32,47.82,72.39,49.45,33.27,50.3,31.91
"2011-09-16",11509.09,76.95,11.7,48.9,26.38,7.17,62.71,82.64,94.13,15.99,34.14,44.35,71.32,15.51,22.64,33.42,20.63,167.95,60.77,31.76,84.23,30.7,25.78,17,60.78,48.56,72.29,49.66,33.76,50.43,31.88
"2011-09-19",11401.01,75.69,11.32,47.49,26.05,6.94,61.53,81.39,93.26,15.89,33.79,43.65,70.51,15.36,22.04,33.17,20.59,168.08,60.34,30.87,84.72,30.3,25.87,16.92,60.29,47.88,72.33,48.87,33.35,50.24,31.49
"2011-09-20",11408.66,75.69,11,48.07,26.3,6.85,60.96,80.48,92.39,15.91,33.87,43.26,70.81,15.23,21.62,33.61,20.84,169.63,60.42,30.64,85.2,30.53,25.65,17.09,60.55,48.38,72.77,48.75,33.47,50.09,31.3
"2011-09-21",11124.84,72.95,10.59,47.05,25.8,6.33,58.53,76.34,89.06,15.24,33.21,41.99,68.86,14.6,23.07,32.68,20.6,167.98,59.39,28.83,83.49,29.92,24.71,16.71,59.55,46.24,71.68,46.97,32.95,49.16,30.3
"2011-09-22",10733.83,69.66,9.88,45.49,25.3,6.01,56.32,71.09,85.19,14.75,32.51,39.2,66.24,14.28,21.94,31.92,20.3,163.7,58.25,27.81,82.03,29.24,23.82,16.38,57.8,45.46,65.4,46.07,32.72,48.16,28.62
"2011-09-23",10771.48,70.7,9.84,45.32,25.39,6.26,57.08,71.05,85.04,15.02,32.32,38.08,66.31,14.44,21.47,32.56,20.81,164.4,57.94,28.11,83.35,29.17,23.82,16.35,57.87,45.21,65.99,46.57,32.99,48.66,28.89
"2011-09-26",11043.86,71.85,10.21,46.4,25.84,6.55,59.48,73.93,86.44,15.39,32.96,39.1,68.62,14.78,21.85,32.83,20.88,169.42,58.98,30.07,85.23,29.69,24.18,16.65,59.09,46.38,68.5,47.75,33.43,49.65,29.35
"2011-09-27",11190.69,72.89,10.24,45.93,26.14,6.43,60.21,74.72,88.37,15.46,33.35,39.77,69.75,14.96,22.7,32.72,21.16,172.53,60.04,29.99,85.61,30.19,24.4,16.63,59.77,47.25,70.04,48.38,33.92,49.84,30.18
"2011-09-28",11010.9,70.33,9.74,45.34,26.03,6.11,59.39,72.23,86.67,15.24,32.62,38.48,68.95,14.67,22.31,32.45,20.95,172.37,59.51,28.95,83.98,30,24.32,16.45,59.27,46.22,68.79,46.61,33.87,49.15,29.52
"2011-09-29",11153.98,71.22,9.83,45.58,26.29,6.3,59.82,72.53,89.18,15.25,33.1,38.92,70.68,15.06,22.88,32.63,20.85,173.95,60.12,29.82,84.7,30.68,24.19,16.84,60.19,47.68,69.34,45.57,34.15,49.74,29.69
"2011-09-30",10913.38,68.6,9.35,43.81,26,6.07,58.04,71.03,87.48,14.91,32.39,37.62,69.49,14.45,21.6,31.74,20.04,169.77,59.92,28.62,83.78,30.72,23.66,16.56,59.7,46.76,67.36,45.12,33.83,49.72,29.21
"2011-10-03",10655.3,67.78,8.7,42.42,25.67,5.49,55.87,67.87,84.92,14.62,31.36,36.23,68.07,13.95,21.36,30.51,19.36,168.24,58.4,27.22,82.06,29.66,23.32,16.23,59.38,44.91,66.41,41.99,33.41,49.77,28.09
"2011-10-04",10808.71,68.81,8.91,42.37,25.81,5.72,56.72,69.78,86.43,15.05,31.27,37.86,69.68,14.11,22.15,31.36,19.92,169.65,58.49,29,82.5,29.45,24.09,16.48,59.88,46.13,66.58,41.85,33.47,50.65,28.92
"2011-10-05",10939.95,69.31,9.16,42.53,26.21,5.73,57.51,71.44,89.43,15.61,31.41,38.79,70.75,14.5,22.96,31.7,20.51,171.69,58.66,29.56,81.88,29.55,24.61,16.84,59.85,47.56,66.65,43.49,33.34,50.43,30.52
"2011-10-06",11123.33,71.33,9.66,43.53,26.3,6.23,58.97,74.16,89.38,16.18,31.35,39.4,70.69,14.75,24.1,32.23,20.68,176.39,59.09,31.03,83.1,29.52,25.04,17.08,60.1,48.16,67.96,43.97,33.47,50.53,31.02
"2011-10-07",11103.12,70.54,9.49,42.55,26.33,5.85,59.28,72.65,89.19,16.09,31.59,39.44,70.38,14.72,23.94,32.76,20.93,177.07,59.39,29.42,83.19,29.69,24.95,17.27,60.39,47.02,68.42,43.92,33.71,51.44,30.7
"2011-10-10",11433.18,73.31,9.86,44.53,27,6.23,61.41,76.12,92.78,16.51,32.07,40.63,72.98,15.33,24.76,33.47,21.48,181.18,60.62,30.96,84.44,30.39,25.61,17.72,61.23,49.03,70.61,45.51,34.4,52.5,31.96
"2011-10-11",11416.3,73.02,10.07,44.83,26.63,6.32,61.36,77.6,92.21,16.41,32.02,40.87,72.97,15.33,24.94,33.52,21.58,179.61,60.17,30.96,85.23,30,25.67,17.66,61.01,48.38,70.6,45.63,34.02,52.42,31.59
"2011-10-12",11518.85,74.88,9.82,46.07,26.84,6.53,61.69,78.6,92.38,16.66,32.35,41.39,73.82,15.57,24.89,33.53,21.71,180.69,60.52,31.82,84.29,30.6,25.63,17.63,61.31,49.36,71.08,45.38,34.18,52.88,32.7
"2011-10-13",11478.13,74.34,9.87,45.39,26.94,6.17,60.93,78.35,92.39,16.83,32.31,41.2,73.06,15.4,24.66,33.23,21.96,181.37,60.43,30.29,85.2,30.72,25.84,17.57,61.09,48.41,70.41,45.52,34.51,52.7,32.5
"2011-10-14",11644.49,75.38,10.03,45.16,27,6.14,61.28,80.89,94.92,16.95,32.52,42.44,74.73,15.76,25.12,33.85,22.06,184.98,60.89,30.56,85.8,30.98,25.92,17.84,61.31,49.2,71.46,46.2,34.8,53.13,33.39
"2011-10-17",11397,72.51,9.36,44.2,26.86,5.98,59.26,78.42,93.16,16.59,32.12,41.2,74.12,15.41,23.92,33.46,21.86,181.15,60.01,29.75,84.58,30.35,25.65,17.51,60.72,47.57,69.05,45.59,34.43,52.47,32.34
"2011-10-18",11577.05,74.88,9.91,45.73,27.04,6.59,60.88,81.5,97.26,16.91,31.99,42.33,75.48,15.87,24.64,34.72,21.97,173.69,60.61,31.5,85.52,30.8,25.96,17.77,61.34,49.38,70.96,44.36,34.71,53.54,32.87
"2011-10-19",11504.62,74.25,9.55,45.19,26.93,6.35,60.53,80.38,96.59,16.58,32.13,41.22,75.04,15.69,24.03,34.18,22.76,172.22,58.93,30.91,85.5,30.57,25.79,17.62,61.68,52.19,70.14,45.44,34.54,53.88,32.55
"2011-10-20",11541.78,75.18,9.72,45.25,26.84,6.42,59.94,81.51,97.68,16.61,32.17,41.53,75.3,15.79,23.8,34.5,22.17,172.08,58.83,31.75,84.91,30.81,25.71,17.55,62,52.32,71.09,45.86,34.58,54,32.78
"2011-10-21",11808.79,76.9,10,47.48,26.96,6.41,61.95,84.53,99.7,16.79,32.69,42.49,76.66,15.49,24.42,35.59,22.56,176.34,60,32.03,88.07,31.33,25.82,17.85,63.12,55.03,72.34,46.88,34.88,54.52,34.06
"2011-10-24",11913.62,78.53,10.34,48.91,26.73,6.67,62.1,88.77,100.4,16.94,32.53,43.38,76.7,15.62,25.03,35.44,23.09,176.94,60.9,33.13,87.78,31.5,25.85,18.14,62.27,55.29,73.39,47.97,34.43,54.39,34.26
"2011-10-25",11706.62,73.62,9.91,48.42,26.3,6.41,61.12,86.95,98.73,17.02,32.09,42.3,76,15.4,24.1,34.8,23.12,175.1,59.92,32.1,87.55,30.92,25.49,17.68,61.45,54.06,72.07,47.7,33.74,54.32,33.43
"2011-10-26",11869.04,73.6,10.13,49.43,26.61,6.54,63.84,88.58,100.87,17.01,32.34,43.39,77.56,15.52,24.77,35.3,23.19,176.67,60.67,32.76,87.56,31.51,25.28,18.06,61.87,55.17,72.82,47.7,34.31,54.96,33.95
"2011-10-27",12208.55,77.79,11.08,51,27.28,7.16,64.73,93.18,102.95,17.81,32.87,45.86,78.34,16.49,25.97,35.94,23.59,180.46,61.62,35.48,89.21,32.23,25.9,18.58,62.16,57,75.92,48.11,35.11,55.38,35.14
"2011-10-28",12231.11,77.4,11.31,51.04,27.53,7.29,65.38,93.69,103.58,17.93,33.04,46.46,77.95,16.38,26.88,34.88,23.45,181.99,61.72,35.17,89,32.98,25.65,18.57,61.66,57.07,76.12,47.79,35.08,54.74,35.07
"2011-10-31",11955.01,75.51,10.52,49.59,27.13,6.78,63.1,91.37,99.25,17.9,32.75,45.24,74.71,15.87,25.6,34.57,23.04,179.25,60.58,33.32,88.58,32.41,25.32,18.04,60.96,55.99,74.66,46.95,34.47,54.33,33.79
"2011-11-01",11657.96,73.13,10.16,47.99,26.57,6.35,60.59,88.64,96.44,16.99,32.14,44.12,72.65,15.21,24.67,34.32,22.44,176.06,59.63,31.35,87.68,32,24.71,18.11,59.74,54.15,71.99,45.22,34,53.86,32.55
"2011-11-02",11836.04,74.59,10.49,49.3,26.92,6.67,61.77,90.87,98.77,17.24,32.49,45.02,74.02,15.43,24.93,34.75,22.39,178.56,59.87,32.24,88.27,32.12,24.73,18.29,59.88,55.37,73.64,45.36,34.3,54.47,33
"2011-11-03",12044.47,76.1,10.65,50.63,27.25,6.86,63.49,92.86,100.27,17.56,32.91,45.98,75.45,15.83,25.82,35.2,22.92,181.84,60.53,32.95,88.72,32.44,25.22,18.62,60.21,56.21,75.1,45.18,34.91,55,33.93
"2011-11-04",11983.24,75.77,10.71,50.14,26.99,6.44,63.11,92.61,100.55,17.42,32.49,45.84,75.12,15.56,25.95,35.14,22.49,180.95,60.32,32.56,89.49,31.96,24.95,18.42,60.04,55.79,74.49,44.59,34.65,55.08,33.67
"2011-11-07",12068.39,76.15,10.54,50.21,27.25,6.4,63.58,91.9,101.77,17.4,32.7,46.11,75.92,15.56,26.82,36.06,23,181.86,60.21,32.82,90.27,32.24,25.48,18.8,60.45,56.25,75,44.19,34.81,55.5,34.05
"2011-11-08",12170.18,78.19,10.57,50.3,27.27,6.48,64.33,92.76,102.85,17.69,32.91,46.88,76.76,15.65,26.78,36.64,23.44,182.52,61.02,33.56,90.25,32.38,25.82,19,61.16,56.64,75.51,45.15,34.98,56.82,34.18
"2011-11-09",11780.94,75.49,10,48.21,26.76,6.11,62.31,88.65,98.52,17.01,32.13,44.79,74.48,15.05,25.33,35.88,22.58,177.64,59.77,31.19,88.39,31.74,24.91,18.3,59.75,54.62,73.19,44.55,34.39,55.61,32.73
"2011-11-10",11893.79,76.75,10.05,48.09,26.99,5.98,62.58,89.19,99.67,17.98,32.3,45.1,75.74,15.25,25.75,35.92,22.79,178.72,60.32,31.38,88.97,32.85,24.98,18.72,60.24,55.09,74.17,45.13,34.8,55.68,33.55
"2011-11-11",12153.68,78.63,10.39,49.35,27.23,6.16,64.6,92.99,101.14,18.37,32.65,46.06,76.72,15.48,26.53,36.75,23.54,182.65,61.39,31.9,90.4,33.79,25.58,18.91,60.86,56.07,76.43,46.11,34.98,56.71,35.55
"2011-11-14",12078.98,78.23,10.17,48.45,27.02,6,65.58,93.38,100.31,18.3,32.5,45.81,75.99,15.29,26.28,36.94,23.33,182.62,61.07,31.2,89.73,33.51,25.44,18.72,60.06,55.2,75.68,45.92,34.49,56.41,34.99
"2011-11-15",12096.16,78.23,10.15,48.94,27.08,6.08,65.58,93.9,97.57,18.47,32.6,45.85,76.12,15.38,27.17,36.76,24,183.98,61.14,31.34,90.12,33.57,25.61,18.8,60.55,54.97,75.95,45.54,34.71,55.04,35.31
"2011-11-16",11905.59,78.23,9.77,47.14,26.64,5.85,64.04,92.62,96.22,18.16,32.12,44.71,75.31,15.14,26.87,36.54,23.62,181.91,60.59,30.16,88.86,32.96,24.97,18.52,60.28,54.06,74.6,43.94,34.16,54.29,34.41
"2011-11-17",11770.73,76.85,9.43,45.75,26.48,5.76,63.79,90.75,95.3,17.85,31.93,43.74,74.93,14.85,26.26,36.33,23.06,181.04,60.15,29.22,88.04,32.73,24.46,18.42,59.95,53.48,72.91,43.56,34.21,54.34,34.05
